Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
16/04/2020,RELIANCE,EQ,1149.85,1149.85,1187.45,1145,1170,1168.05,1172.19,17123533,2.0072E+15,387003,6815679,0.398
17/04/2020,RELIANCE,EQ,1168.05,1216,1230,1192.65,1229.9,1224,1208.12,15209707,1.83751E+15,322391,5515033,0.3626
20/04/2020,RELIANCE,EQ,1224,1226,1257,1202,1248.1,1243.8,1228.75,16472339,2.02404E+15,365965,3828855,0.2324
21/04/2020,RELIANCE,EQ,1243.8,1210,1252,1164,1251.5,1237.35,1204.07,28057706,3.37835E+15,573205,8180117,0.2915
22/04/2020,RELIANCE,EQ,1237.35,1320,1384.9,1300,1359,1363.6,1341.48,65230894,8.75059E+15,1194059,15175508,0.2326
23/04/2020,RELIANCE,EQ,1363.6,1367.35,1385.85,1353.3,1370.15,1370.9,1369.1,29928331,4.09749E+15,612506,9233839,0.3085
24/04/2020,RELIANCE,EQ,1370.9,1350.15,1494.95,1347.2,1425.8,1417,1431.67,61711388,8.83503E+15,1154959,9965286,0.1615
27/04/2020,RELIANCE,EQ,1417,1434,1475,1423,1431,1429.75,1448.31,26736512,3.87227E+15,594518,4031654,0.1508
28/04/2020,RELIANCE,EQ,1429.75,1450,1455.45,1392.15,1430,1428.15,1421.22,35866381,5.09741E+15,746066,7100366,0.198
29/04/2020,RELIANCE,EQ,1428.15,1444.9,1453.65,1420,1427,1426.95,1436.42,17141540,2.46224E+15,389293,4350009,0.2538
30/04/2020,RELIANCE,EQ,1426.95,1453.95,1494.95,1438.05,1464,1466,1467.88,32617901,4.78793E+15,663204,9287707,0.2847
04/05/2020,RELIANCE,EQ,1466,1440,1465,1417.45,1435,1435.2,1442.94,24439240,3.52644E+15,544309,8018280,0.3281
05/05/2020,RELIANCE,EQ,1435.2,1453.7,1479,1447.2,1462.65,1460.65,1464.23,20528706,3.00587E+15,412545,4924874,0.2399
06/05/2020,RELIANCE,EQ,1460.65,1464,1484.95,1445.5,1461.5,1460.75,1468.54,18510304,2.71832E+15,425042,4155906,0.2245
07/05/2020,RELIANCE,EQ,1460.75,1455,1513.65,1445,1512,1506.95,1484.86,22871529,3.39611E+15,465254,5286803,0.2312
08/05/2020,RELIANCE,EQ,1506.95,1545,1579.9,1537.1,1559.45,1561.8,1560.62,38522385,6.01186E+15,727915,12438706,0.3229
11/05/2020,RELIANCE,EQ,1561.8,1580,1615,1572.3,1575,1576.8,1592.89,30670404,4.88546E+15,576001,11723342,0.3822
12/05/2020,RELIANCE,EQ,1576.8,1564.8,1568.35,1465,1486.45,1479.25,1511.39,46029119,6.9568E+15,807575,18435434,0.4005
13/05/2020,RELIANCE,EQ,1479.25,1527,1527,1454,1492.5,1496.45,1481.1,30658051,4.54076E+15,615366,6403617,0.2089
14/05/2020,RELIANCE,EQ,1496.45,1469,1496.7,1430.05,1437,1435.95,1457.61,22736714,3.31412E+15,494402,7400518,0.3255
15/05/2020,RELIANCE,EQ,1435.95,1444,1466.7,1415.1,1453.2,1459.4,1439.85,28683432,4.12998E+15,592403,7448167,0.2597
18/05/2020,RELIANCE,EQ,1459.4,1470,1482,1428,1442.55,1440.75,1452.86,28981620,4.21063E+15,575336,5396937,0.1862
19/05/2020,RELIANCE,EQ,1440.75,1457,1461.7,1403.25,1409.1,1408.9,1436.68,19529216,2.80572E+15,424987,4452799,0.228
20/05/2020,RELIANCE,EQ,1408.9,1410,1446.85,1393,1437.4,1433.7,1426.52,25530692,3.64199E+15,446373,6638736,0.26
21/05/2020,RELIANCE,EQ,1433.7,1435,1461.45,1425,1440,1441.25,1443.94,18077196,2.61025E+15,353235,5286704,0.2925
22/05/2020,RELIANCE,EQ,1441.25,1451.8,1458,1426.5,1433,1431.55,1442.31,17458503,2.51806E+15,388907,4083814,0.2339
26/05/2020,RELIANCE,EQ,1431.55,1448.15,1449.7,1416.3,1426,1424.05,1428.7,15330793,2.19032E+15,341795,7437964,0.4852
27/05/2020,RELIANCE,EQ,1424.05,1431,1454,1412,1449.85,1445.55,1430.2,16460764,2.35422E+15,348477,6524302,0.3964
28/05/2020,RELIANCE,EQ,1445.55,1455,1479.75,1449,1471.05,1472.25,1467.5,18519252,2.7177E+15,405603,8377100,0.4523
29/05/2020,RELIANCE,EQ,1472.25,1468,1472,1452.65,1470,1464.4,1462.79,18471770,2.70203E+15,300018,10292573,0.5572
01/06/2020,RELIANCE,EQ,1464.4,1480,1538.35,1475.95,1521.9,1520.35,1512.99,18434065,2.78905E+15,354436,5711151,0.3098
02/06/2020,RELIANCE,EQ,1520.35,1526,1540,1520.8,1537.95,1535.7,1531.68,10224102,1.566E+15,224472,3522633,0.3445
03/06/2020,RELIANCE,EQ,1535.7,1545,1560,1533.35,1543,1541.65,1543.74,11713666,1.80828E+15,227825,5197313,0.4437
04/06/2020,RELIANCE,EQ,1541.65,1544,1589.5,1541,1576,1579.8,1570.24,15784612,2.47856E+15,356122,4083577,0.2587
05/06/2020,RELIANCE,EQ,1579.8,1595,1618,1573.7,1579.2,1581.7,1596.41,15270435,2.43779E+15,339237,3362416,0.2202
08/06/2020,RELIANCE,EQ,1581.7,1618.4,1618.4,1565,1571.8,1569.5,1588.27,14498055,2.30269E+15,322987,3584176,0.2472
09/06/2020,RELIANCE,EQ,1569.5,1560.3,1583,1533,1535.9,1537.15,1555.91,11934073,1.85683E+15,307011,2953746,0.2475
10/06/2020,RELIANCE,EQ,1537.15,1543.1,1579.55,1540.05,1575,1572.15,1556.73,10214426,1.59011E+15,262174,2815033,0.2756
11/06/2020,RELIANCE,EQ,1572.15,1566,1567.95,1531,1538.8,1537.7,1546.33,9408283,1.45483E+15,269490,3034020,0.3225
12/06/2020,RELIANCE,EQ,1537.7,1500,1593,1497,1588.7,1588.8,1552.68,17790565,2.7623E+15,337575,4514688,0.2538
15/06/2020,RELIANCE,EQ,1588.8,1565,1626.95,1561.1,1612.3,1614.55,1593.39,24509162,3.90527E+15,467105,5136354,0.2096
16/06/2020,RELIANCE,EQ,1614.55,1643,1648.55,1585.3,1614.05,1617.7,1617.17,23623299,3.8203E+15,424919,5774484,0.2444
17/06/2020,RELIANCE,EQ,1617.7,1608.25,1635.45,1602.1,1611.85,1615.35,1618.64,19282519,3.12115E+15,299203,7420780,0.3848
18/06/2020,RELIANCE,EQ,1615.35,1607,1665,1605.6,1662.9,1655.9,1636.4,18677694,3.05641E+15,327308,7786788,0.4169
19/06/2020,RELIANCE,EQ,1655.9,1670,1788.8,1662,1763.2,1759.4,1727.35,48828852,8.43443E+15,752773,15752717,0.3226
22/06/2020,RELIANCE,EQ,1759.4,1773.4,1804.2,1735,1752.5,1746.15,1771.18,27781772,4.92067E+15,613265,7287358,0.2623
23/06/2020,RELIANCE,EQ,1746.15,1750,1763.75,1716.1,1721.7,1720.9,1731.86,17521196,3.03443E+15,400333,2789706,0.3487
24/06/2020,RELIANCE,EQ,1720.9,1735.9,1772.7,1711.7,1732.5,1727.85,1739.65,23808524,4.14185E+15,488048,5829283,0.2448
25/06/2020,RELIANCE,EQ,1727.85,1727,1749,1713.05,1719,1717.9,1728.41,18312705,3.16518E+15,318478,6775567,0.37
26/06/2020,RELIANCE,EQ,1717.9,1728.8,1752,1717,1750,1741.65,1731.91,14270695,2.47155E+15,279769,5042368,0.3533
29/06/2020,RELIANCE,EQ,1741.65,1728.05,1739.75,1715.55,1722.7,1723.15,1724.38,11825126,2.03911E+15,225499,4609009,0.3898
30/06/2020,RELIANCE,EQ,1723.15,1737,1741,1695.55,1707.5,1704.1,1718.1,13973038,2.40071E+15,277133,5567451,0.3984
01/07/2020,RELIANCE,EQ,1704.1,1720,1749,1708.05,1736.25,1737.6,1730.01,13136706,2.27266E+15,256982,3073568,0.234
02/07/2020,RELIANCE,EQ,1737.6,1743,1767.6,1735.05,1759.5,1760.35,1755.2,13286760,2.33209E+15,262833,3239259,0.2438
03/07/2020,RELIANCE,EQ,1760.35,1779.8,1793,1768,1788,1787.9,1781.69,13584004,2.42025E+15,254096,3420711,0.2518
06/07/2020,RELIANCE,EQ,1787.9,1805,1858,1792.1,1855,1851.8,1832.66,21698149,3.97653E+15,442095,5644923,0.2602
07/07/2020,RELIANCE,EQ,1851.8,1860,1864.35,1806.3,1822.15,1823.45,1831.78,16240102,2.97482E+15,386666,4751023,0.2925
08/07/2020,RELIANCE,EQ,1823.45,1824.05,1834.95,1790,1795.4,1798,1812.33,12093523,2.19175E+15,285951,4348610,0.3596
09/07/2020,RELIANCE,EQ,1798,1809,1835,1786.25,1826.75,1824.25,1813.36,16807403,3.04779E+15,352813,4527046,0.2693
10/07/2020,RELIANCE,EQ,1824.25,1828.5,1884.6,1824.25,1880.2,1878.05,1859.58,20195490,3.75552E+15,455198,4248376,0.2104
13/07/2020,RELIANCE,EQ,1878.05,1903.35,1947.7,1900,1938.7,1935,1927.07,32124397,6.19058E+15,615947,6448206,0.2007
